kind,subject,ingredients,runs,rounds,wins,win_rate_bp,dealt_sauce,taken_sauce,spent_sauce,cost_efficiency_dealt_per_100_sauce,income_base_sauce,bonus_sauce,value,of,bounded
note,cost_efficiency_dealt_per_100_sauce,,,,,,,,,,,,a cost-weighted leak rate and never a price -- a leak charges what the creep cost one for one so the price cancels out; see docs/adr/0041,,
parameter,waves,,,,,,,,,,,,10,,
parameter,field_size,,,,,,,,,,,,10,,
parameter,death_ends_the_run,,,,,,,,,,,,no,,
parameter,ordinary_options,,,,,,,,,,,,3,,
parameter,game_changers,,,,,,,,,,,,3,,
parameter,free_snapshots,,,,,,,,,,,,10,,
parameter,snapshot_price,,,,,,,,,,,,25,,
parameter,first_seed,,,,,,,,,,,,20260807,,
parameter,runs_per_creep,,,,,,,,,,,,8,,
parameter,ruleset_hash,,,,,,,,,,,,B8D395FFBCA5BCCC,,
coverage,creeps,,,,,,,,,,,,6,6,no
coverage,seeds,,,,,,,,,,,,8,,yes
creep,grunt,0,8,80,5,6250,1916,1406,8636,22,8000,780,,,
creep,grunt,3,3,30,1,3333,545,534,3217,16,3000,235,,,
creep,grunt,4,5,50,4,8000,1371,872,5419,25,5000,545,,,
creep,runner,0,8,80,2,2500,1218,1406,8483,14,8000,585,,,
creep,runner,2,1,10,0,0,19,177,1000,1,1000,0,,,
creep,runner,3,4,40,2,5000,763,702,4345,17,4000,385,,,
creep,runner,4,2,20,0,0,268,351,2105,12,2000,120,,,
creep,runner,5,1,10,0,0,168,176,1033,16,1000,80,,,
creep,wisp,0,8,80,2,2500,1199,1406,8358,14,8000,605,,,
creep,wisp,4,3,30,1,3333,495,534,3198,15,3000,280,,,
creep,wisp,5,4,40,1,2500,661,702,4182,15,4000,325,,,
creep,wisp,6,1,10,0,0,43,170,978,4,1000,0,,,
creep,bulwark,0,8,80,6,7500,1762,1406,8425,20,8000,645,,,
creep,bulwark,4,5,50,3,6000,956,878,5257,18,5000,355,,,
creep,bulwark,5,2,20,2,10000,633,358,2152,29,2000,250,,,
creep,bulwark,6,1,10,1,10000,173,170,1016,17,1000,40,,,
creep,drifter,0,8,80,4,5000,1792,1406,8608,20,8000,835,,,
creep,drifter,3,1,10,1,10000,297,172,1158,25,1000,150,,,
creep,drifter,4,4,40,3,7500,1010,697,4249,23,4000,430,,,
creep,drifter,5,1,10,0,0,165,181,1074,15,1000,85,,,
creep,drifter,6,2,20,0,0,320,356,2127,15,2000,170,,,
creep,lancer,0,8,80,6,7500,2007,1406,8722,23,8000,935,,,
creep,lancer,2,1,10,1,10000,430,181,1154,37,1000,170,,,
creep,lancer,3,2,20,1,5000,454,347,2126,21,2000,180,,,
creep,lancer,4,1,10,0,0,142,176,1060,13,1000,100,,,
creep,lancer,5,2,20,2,10000,499,347,2253,22,2000,300,,,
creep,lancer,6,2,20,2,10000,482,355,2129,22,2000,185,,,
