# 32 filmstrips from C:\Users\salte\repos\tower-defense-game\.claude\worktrees\roster-signoff\docs\roster-paladin-clips.txt
# Each strip-NN-<name>.png is one row of frames, left to right,
# at phases i/frames of the clip -- so the last frame does NOT
# repeat the first and the row loops without a stutter.
#
#   name                       frames  seconds
Paladin_Chop                    12    1.067
Paladin_Jump_Chop               12    1.333
Paladin_Slice_Diagonal          12    1.000
Paladin_Slice_Horiz             12    1.367
Paladin_Stab                    12    1.600
Paladin_Block                   12    1.067
Paladin_Block_Attack            12    1.067
Paladin_Block_Hit               12    1.067
Paladin_Blocking                12    1.067
Paladin_Idle_A                  12    1.067
Paladin_Idle_B                  12    2.133
Paladin_Use_Item                12    1.600
Templar_Chop                    12    1.067
Templar_Jump_Chop               12    1.333
Templar_Slice_Diagonal          12    1.000
Templar_Slice_Horiz             12    1.367
Templar_Stab                    12    1.600
Templar_Block                   12    1.067
Templar_Block_Attack            12    1.067
Templar_Block_Hit               12    1.067
Templar_Blocking                12    1.067
Templar_Idle_A                  12    1.067
Templar_Idle_B                  12    2.133
Templar_Use_Item                12    1.600
Blessing_Raise                  12    2.100
Blessing_Shoot                  12    0.933
Blessing_Spellcasting           12    0.667
Blessing_Casting_Long           12    2.533
Blessing_Summon                 12    4.300
Blessing_Idle_A                 12    1.067
Blessing_Idle_B                 12    2.133
Blessing_Use_Item               12    1.600
